,StockName,HurstScore
0,ADANIPORTS,0.176341501423396
1,ADANIPOWER,0.308166265891017
2,ALBK,0.2907925743846485
3,AMBUJACEM,0.1627407785026066
4,ANDHRABANK,0.2913692984876331
5,AXISBANK,0.1846603975649011
6,BALRAMCHIN,0.4479823417653614
7,BANKBARODA,0.2710724761830972
8,BANKINDIA,0.3267979354647029
9,BHARATFIN,0.2041461279151527
10,BHARTIARTL,0.1475352514765692
11,CANBK,0.2461274304872791
12,COALINDIA,0.1275928383168106
13,DCBBANK,0.2160300461043952
14,DHFL,0.2179640398788696
15,DISHTV,0.2932794985958001
16,DLF,0.2702719634121726
17,EQUITAS,0.1816078846253175
18,FORTIS,0.2512858314496536
19,GAIL,0.353642962365802
20,GMRINFRA,0.1811849918081226
21,GRASIM,0.1587689066941887
22,HDFCBANK,0.4459593279248727
23,HDIL,0.2824763165507373
24,IBREALEST,0.1979851295622111
25,ICICIBANK,0.1969056978465169
26,IDEA,0.325078829093659
27,IDFC,0.2062744602754525
28,IDFCBANK,0.2416306049883985
29,IFCI,0.4382210364580767
30,INFIBEAM,0.409327790952058
31,INFY,0.1733595681215263
32,IOC,0.2395593682255311
33,IRB,0.172848904803095
34,ITC,0.2339516539894959
35,JINDALSTEL,0.2917479491603874
36,JISLJALEQS,0.2589769950683641
37,JPASSOCIAT,0.2717085827711119
38,JSWENERGY,0.1616096094395494
39,JSWSTEEL,0.4032392495214222
40,JUSTDIAL,0.3038074702355692
41,KOTAKBANK,0.4359082062133991
42,KTKBANK,0.2538275445426258
43,L_TFH,0.1496498149343692
44,M_MFIN,0.2588326972588235
45,MANAPPURAM,0.2083691461700949
46,MOTHERSUMI,0.3701714968189173
47,NATIONALUM,0.2880897466400806
48,NCC,0.3932808151247964
49,NHPC,0.1213691146815167
50,NMDC,0.1652727776321845
51,NTPC,0.1398658209274858
52,PCJEWELLER,0.3822096538539187
53,PFC,0.2663765543787642
54,PNB,0.2581754487606942
55,POWERGRID,0.0751503504979593
56,PTC,0.2346312690554513
57,RCOM,0.3093731376238162
58,RDEL,0.1903096513404352
59,RECLTD,0.2136955497364742
60,RELCAPITAL,0.2387936413193061
61,RELIANCE,0.2079184844139541
62,RPOWER,0.1362149777856224
63,SOUTHBANK,0.2183832399145442
64,SRTRANSFIN,0.2049376781155096
65,SUNTV,0.3234540029272492
66,SUZLON,0.243309131744796
67,SYNDIBANK,0.3050226653618595
68,TATAMTRDVR,0.1962568007485396
69,TV18BRDCST,0.271609362163237
70,TVSMOTOR,0.1331490697121836
71,UJJIVAN,0.2805427507780633
72,UNIONBANK,0.3197073793072429
73,YESBANK,0.1969443685106323
